INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
213549526,05/26/2020,04:15:00,BRONX,50,0,MULTI DWELL - APT BUILD,false,,,,65+,M,BLACK,1011244,256820,40.871553006000056,-73.902397687999951,POINT (-73.90239768799995 40.871553006000056)
214513451,06/23/2020,21:33:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,true,,,,25-44,M,WHITE HISPANIC,1000014,197754,40.709459978000041,-73.943141253999954,POINT (-73.94314125399995 40.70945997800004)
212063774,04/15/2020,13:15:00,QUEENS,101,0,,true,,,,25-44,M,BLACK,1051729,159440,40.604053581000073,-73.756991036999977,POINT (-73.75699103699998 40.60405358100007)
214270194,06/17/2020,01:51:00,BROOKLYN,67,0,,true,,,,25-44,M,BLACK,1003313,176413,40.650877291000029,-73.931302246999962,POINT (-73.93130224699996 40.65087729100003)
213187655,05/17/2020,01:05:00,BROOKLYN,81,0,,false,,,,25-44,M,BLACK,1004019,190208,40.688739930000054,-73.928717512999981,POINT (-73.92871751299998 40.688739930000054)
206909437,01/02/2020,21:37:00,BROOKLYN,63,0,,false,18-24,F,BLACK,25-44,M,WHITE,1001836,168373,40.628812269000036,-73.936646008999958,POINT (-73.93664600899996 40.628812269000036)
214693796,06/28/2020,03:10:00,BROOKLYN,73,0,PVT HOUSE,false,,,,18-24,M,BLACK,1007783,185486,40.675769912000078,-73.915161613999942,POINT (-73.91516161399994 40.67576991200008)
208899478,02/02/2020,02:32:00,MANHATTAN,25,0,,false,,,,25-44,M,BLACK HISPANIC,999520,230738,40.799993530000052,-73.944848191999938,POINT (-73.94484819199994 40.79999353000005)
213973277,06/08/2020,22:38:00,BROOKLYN,81,0,,false,,,,25-44,M,ASIAN / PACIFIC ISLANDER,1004426,187539,40.681413218000046,-73.927257926999971,POINT (-73.92725792699997 40.681413218000046)
214183639,06/12/2020,23:00:00,BRONX,47,0,,false,,,,18-24,F,BLACK,1021731,263219,40.889077955000062,-73.864443483999935,POINT (-73.86444348399993 40.88907795500006)
214431184,06/20/2020,04:00:00,BRONX,43,0,,false,,,,45-64,M,BLACK,1021531,244069,40.836517891000028,-73.86527334699997,POINT (-73.86527334699997 40.83651789100003)
212132075,04/17/2020,02:45:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,false,25-44,M,BLACK,18-24,M,WHITE HISPANIC,1011112,244416,40.837508141000058,-73.902924669999948,POINT (-73.90292466999995 40.83750814100006)
212640535,05/03/2020,16:13:00,QUEENS,109,2,MULTI DWELL - PUBLIC HOUS,false,,,,45-64,M,BLACK,1030347,215618,40.758386148000056,-73.833608974999947,POINT (-73.83360897499995 40.758386148000056)
209974083,02/21/2020,10:22:00,BROOKLYN,73,0,,true,25-44,M,BLACK,25-44,M,BLACK,1008228,183789,40.671110834000046,-73.91356336299998,POINT (-73.91356336299998 40.67111083400005)
211793809,04/06/2020,15:00:00,QUEENS,110,0,,false,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1022016,211424,40.746914202000028,-73.863704187999986,POINT (-73.86370418799999 40.74691420200003)
214312557,06/17/2020,00:33:00,BRONX,42,0,MULTI DWELL - APT BUILD,false,,,,<18,M,BLACK,1015667,243850,40.835939606000068,-73.886465988999987,POINT (-73.88646598899999 40.83593960600007)
210706802,03/06/2020,05:39:00,BROOKLYN,73,0,,false,,,,25-44,M,BLACK,1008239,178971,40.657886467000026,-73.913540851999983,POINT (-73.91354085199998 40.657886467000026)
208437742,01/23/2020,14:00:00,MANHATTAN,30,0,,false,18-24,M,BLACK HISPANIC,25-44,M,BLACK,996329,238263,40.820652506000044,-73.956360127999972,POINT (-73.95636012799997 40.820652506000044)
210707460,03/08/2020,15:38:00,BROOKLYN,67,0,,false,,,,25-44,M,BLACK,1006807,175875,40.649392388000081,-73.918712382999956,POINT (-73.91871238299996 40.64939238800008)
208531435,01/25/2020,01:30:00,MANHATTAN,28,0,RESTAURANT/DINER,false,,,,25-44,M,BLACK,999393,233707,40.808142838000038,-73.945300202999988,POINT (-73.94530020299999 40.80814283800004)
214513025,06/23/2020,01:42:00,BRONX,44,0,MULTI DWELL - APT BUILD,false,,,,25-44,M,BLACK,1004568,243052,40.833781835000025,-73.926578198999948,POINT (-73.92657819899995 40.833781835000025)
214431175,06/21/2020,04:19:00,BROOKLYN,73,0,PVT HOUSE,false,,,,25-44,F,BLACK,1006140,183727,40.670946067000045,-73.921090572999958,POINT (-73.92109057299996 40.670946067000045)
